; ;Nuovo ID;hallow_back;rilegatura_moderna;Colonna1;Collocazione;roman_converted;disambiguatore;numero_del_codice;numerazione_araba;numerazione_romana_alternativa;ulteriore_numerazione_arabaoromana;identificativo_parte;Spagnolo;note;titolo;materiale;datazione_i;datazione_f;lingua;fogli;altezza;ampiezza;rilegatura;tipo_rilegatura;materiale_rilegatura;preferred_manifest_url;color;color_rileg;is_digitized;marker_dim;alpha
415;416;m0399_0;0.0;0.0;0;[V 3 17];399;_0;CCCXCIX;0;0;0;0;397-398;0;Adversaria selectae eruditae antiquitatis;cartaceo;1600.0;1700.0;0;78.0;255.0;195.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.6304723688503096;0.5
416;417;m0400_0;0.0;0.0;0;[V 3 18];400;_0;CCCC;0;0;0;0;398;0;Historia primi dissidii inter fideles Antiochiae;cartaceo;1600.0;1700.0;0;8.0;268.0;203.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;2.4350742760401247;0.5
417;418;m0401_0;0.0;0.0;0;[V 3 19];401;_0;CCCCI;0;0;0;0;398;0;Liber chronologicus II saeculi christianae;cartaceo;1700.0;1800.0;0;39.0;258.0;200.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.9470281146268364;0.5
418;419;m0402_0;0.0;0.0;0;[V 3 20];402;_0;CCCCII;0;0;0;0;399;0;Saeculi II aerae chirstianae liber historicus;cartaceo;1700.0;1800.0;0;11.0;267.0;197.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;2.7293495291336014;0.5
419;420;m0403_0;0.0;0.0;0;[V 3 21];403;_0;CCCCIII;0;0;0;0;399;0;Adversaria pro historia ecclesiae saeculi et alia;cartaceo;1600.0;1700.0;0;41.0;276.0;206.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.996096041942716;0.5
420;421;m0404_0;0.0;0.0;0;[V 3 22];404;_0;CCCCIV;0;0;0;0;399-400;0;Adversaria anastasiana et rei antiquariae et astronomicae;cartaceo;1600.0;1800.0;0;134.0;253.0;195.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.167520327407472;0.5
421;422;m0405_0;0.0;0.0;0;[V 3 23];405;_0;CCCCV;0;0;0;0;400;0;Lucubrationes variae pro emendatione kalendarii et alia;cartaceo;1600.0;1800.0;0;90.0;267.0;210.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.772272346418676;0.5
422;423;m0405A0;0.0;0.0;0;[V 3 24];405;A0;CCCCV A;0;0;0;0;400;inserito nuovo;Lucubrationes variae pro emendatione kalendarii et alia;cartaceo;1600.0;1800.0;0;90.0;267.0;210.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.772272346418676;0.5
423;424;m0406_0;0.0;0.0;0;[V 3 25];406;_0;CCCCVI;0;0;0;0;400-401;0;Specimina quaedam novae reparationis temporum ad usum chronologiae;cartaceo;1700.0;1800.0;0;95.0;290.0;204.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.825894145783534;0.5
424;425;m0407_0;0.0;0.0;0;[V 3 26];407;_0;CCCCVII;0;0;0;0;401-402;0;De reparatione chronologica ad epocham passionis Christi;cartaceo;1700.0;1800.0;0;4.0;275.0;208.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;1.8258924755975134;0.5
425;426;m0408_0;0.0;0.0;0;[V 3 27];408;_0;CCCCVIII;0;0;0;0;402;0;Praefatio generalis historica in omnes Veteris testamenti libros in quinque capitula distributa;cartaceo;1700.0;1800.0;0;37.0;270.0;203.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.8954277290784507;0.5
426;427;m0409_0;0.0;0.0;0;[V 3 28];409;_0;CCCCIX;0;0;0;0;402-403;0;Studi di anatomia;cartaceo;1675.0;1700.0;0;13.0;312.0;220.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;2.8863126047437033;0.5
427;428;m0410_0;0.0;0.0;0;[V 3 29];410;_0;CCCCX;0;0;0;0;403;0;Historia sectae philosophi I et II ecclesiae saeculo;cartaceo;1600.0;1800.0;0;20.0;270.0;205.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.2973788863561446;0.5
428;429;m0411_0;0.0;0.0;0;[V 3 30];411;_0;CCCCXI;0;0;0;0;403-404;0;Antiquae imagines depictae aut musivis operibus efformatae in basilicis ac titulis urbis aut in coemeteris suburbanis ss. martirum desumptae ex genuinis monumentis veterum christianorum cura et impensis equitis Cassiani de Puteo, eiusque ex museo translatae in domesticam bibliothecam ss. d. n. Clementis papae XI;cartaceo;1700.0;1800.0;0;61.0;280.0;210.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.387350976840979;0.5
429;430;m0412_0;0.0;0.0;0;[V 3 31];412;_0;CCCCXII;0;0;0;0;404;0;De phisica et mathemat. utilitate gallice et anglice;cartaceo;1600.0;1700.0;0;61.0;276.0;202.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.387350976840979;0.5
430;431;m0413_0;0.0;0.0;0;[V 3 32];413;_0;CCCCXIII;0;0;0;0;404-405;0;Thomae Pii Maffaei De corrigendis epactis in kelendario gregoriano a Franc. Blanchino opus revisum;cartaceo;1700.0;1700.0;0;61.0;320.0;222.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.387350976840979;0.5
431;432;m0414_0;0.0;0.0;0;[V 3 33];414;_0;CCCCXIV;0;0;0;0;405;0;Prafatio operis cui titulis: Explicatio rerum quae in sepulcris veterum romanorum occurrunt;cartaceo;1700.0;1800.0;0;4.0;278.0;203.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;1.8258924755975134;0.5
432;433;m0415_0;0.0;0.0;0;[V 3 34];415;_0;CCCCXV;0;0;0;0;405-406;0;Chronologia II saeculi aerae christianae ex genuinis monumentis caesarum et magistror. disposit.;cartaceo;1700.0;1800.0;0;77.0;270.0;200.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.6176955813532325;0.5
433;434;m0416_0;0.0;0.0;0;[V 3 35];416;_0;CCCCXVI;0;0;0;0;406;0;Delle fortificazioni e azione bellica;cartaceo;1700.0;1800.0;0;4.0;315.0;210.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;1.8258924755975134;0.5
434;435;m0417_0;0.0;0.0;0;[V 3 36];417;_0;CCCCXVII;0;0;0;0;407;0;Inscriptiones et explicatio vitri S. Calepodii;cartaceo;1725.0;1800.0;0;34.0;310.0;220.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.8126629693485388;0.5
435;436;m0418_0;0.0;0.0;0;[V 3 37];418;_0;CCCCXVIII;0;0;0;0;407-408;0;De translatione s. corporis b. Leonis Magni et de observatis rebus praecipuis in eiusdem sepulchri et corporis inspectione;cartaceo;1700.0;1800.0;0;103.0;270.0;208.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.906123183872837;0.5
436;437;m0419_0;0.0;0.0;0;[V 3 38];419;_0;CCCCXIX;0;0;0;0;408;0;Explication des pièces renfermées dans la croix;cartaceo;1700.0;1700.0;0;54.0;273.0;208.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.267071627622294;0.5
437;438;m0420_0;0.0;0.0;0;[V 3 39];420;_0;CCCCXX;0;0;0;0;408-409;0;Studi vari su argomenti di scienza astronomica;cartaceo;1600.0;1800.0;0;69.0;286.0;215.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.5091409977591494;0.5
438;439;m0421_0;0.0;0.0;0;[V 3 40];421;_0;CCCCXXI;0;0;0;0;409-410;0;Discorsi accademici;cartaceo;1700.0;1700.0;0;38.0;273.0;202.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.921560709908635;0.5
439;440;m0422_0;0.0;0.0;0;[V 3 41];422;_0;CCCCXXII;0;0;0;0;410-412;0;Epistolae Ioanni Antonio Daviae et e.mo A Scheletrate;cartaceo;1675.0;1700.0;0;25.0;308.0;219.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.5130989578633627;0.5
440;441;m0423_0;0.0;0.0;0;[V 3 42];423;_0;CCCCXXIII;0;0;0;0;412-415;0;Iter e Gallia in Italiam ac Epistolae;cartaceo;1700.0;1700.0;0;92.0;322.0;207.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.79406729857371;0.5
441;442;m0424_0;0.0;0.0;0;[V 3 43];424;_0;CCCCXXIV;0;0;0;0;415-416;controlla mappe, [in consultazione];Viaggi a Bolzano, a Bergamo, a Brescia;cartaceo;1700.0;1700.0;0;51.0;297.0;210.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.21073774358943;0.5
442;443;m0425_0;0.0;0.0;0;[V 3 44];425;_0;CCCCXXV;0;0;0;0;416;0;De re nummaria, lapidaria et antiquaria;cartaceo;1600.0;1800.0;0;56.0;270.0;215.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.302938332521579;0.5
443;444;m0426_0;0.0;0.0;0;[V 3 45];426;_0;CCCCXXVI;0;0;0;0;416;0;Oratorio pel SS. Natale;cartaceo;1700.0;1700.0;0;28.0;276.0;207.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.6232292041236747;0.5
444;445;m0427_0;0.0;0.0;0;[V 3 46];427;_0;CCCCXXVII;0;0;0;0;417;0;Giuseppe Bianchini: Officium proprium sanct. mart. Firmi et Rustici pro diocesi Veronensi et Bergomensi;cartaceo;1700.0;1800.0;0;80.0;366.0;262.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.655546393313158;0.5
445;446;m0428_0;0.0;0.0;0;[V A 7];428;_0;CCCCXXVIII;0;0;0;0;417-419;A;Adversaria eruditae antiquitatis, Observationes mathematicae, Experimenta phhisica, Epistolae litterariae, Carmina;cartaceo;1775.0;1800.0;0;0.0;0.0;0.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
446;447;m0428_0;0.0;0.0;0;[V 3 47];428;_0;CCCCXXVIII;0;0;0;0;417-419;B;Adversaria eruditae antiquitatis, Observationes mathematicae, Experimenta phhisica, Epistolae litterariae, Carmina;cartaceo;1775.0;1800.0;0;101.0;405.0;155.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.886661258688375;0.5
447;448;m0429_0;0.0;0.0;0;[V 3 48];429;_0;CCCCXXIX;0;0;0;0;419-420;0;Miscellanea;cartaceo;1600.0;1800.0;0;0.0;290.0;210.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
448;449;m0430_0;0.0;0.0;0;[V 3 49];430;_0;CCCCXXX;0;0;0;0;420-421;trattato colori;Miscellanea;cartaceo;1600.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
449;450;m0431_0;0.0;0.0;0;[V 3 50];431;_0;CCCCXXXI;0;0;0;0;421-422;0;Adversaria Anastasiana;cartaceo;1600.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli e fogli sciolti raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
450;451;m0432_0;0.0;0.0;0;[VI 3 1];432;_0;CCCCXXXII;0;0;0;0;422-423;0;Adversaria Anastasiana;cartaceo;1600.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
451;452;m0433_0;0.0;0.0;0;[VI 3 2];433;_0;CCCCXXXIII;0;0;0;0;423-424;0;Miscellanea latina e italiana;cartaceo;1600.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
452;453;m0434_0;0.0;0.0;0;[VI 3 3];434;_0;CCCCXXXIV;0;0;0;0;425;0;Hesperi e Phospori nova phaenomena, sive Observationes circa planetam Veneris et alia;cartaceo;1700.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
453;454;m0435_0;0.0;0.0;0;[VI 3 4];435;_0;CCCCXXXV;0;0;0;0;425-427;0;Miscellanea di varia erudizione;cartaceo;1700.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
454;455;m0436_0;0.0;0.0;0;[VI 3 5];436;_0;CCCCXXXVI;0;0;0;0;427-428;0;Il palazzo dei Cesari;cartaceo;1700.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
455;456;m0437_0;0.0;0.0;0;[VI 3 6];437;_0;CCCCXXXVII;0;0;0;0;428-432;0;Lettere e scritti vari;cartaceo;1700.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
456;457;m0438A0;0.0;0.0;0;[VI 3 7];438;A0;CCCCXXXVIII A;0;0;0;0;432;0;Dei servi e liberti della famiglia di Livia Augusta;cartaceo;1725.0;1800.0;0;0.0;0.0;0.0;fogli sciolti;fogli sciolti raccolti in busta;0;/;orange;#FF5733;Non digitalizzato;4.0;0.15
457;458;m0438B0;0.0;0.0;0;[VI 3 8];438;B0;CCCCXXXVIII B;0;0;0;0;432-433;0;Miscellanea;cartaceo;1600.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli e fogli sciolti raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
458;459;m0438C0;0.0;0.0;0;[VI 3 9];438;C0;CCCCXXXVIII C;0;0;0;0;433-435;0;Miscellanea;cartaceo;1600.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
459;460;m0438D0;0.0;0.0;0;[VI 3 10];438;D0;CCCCXXXVIII D;0;0;0;0;435-436;0;Miscellanea;cartaceo;1600.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli e fogli sciolti raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
460;461;m0439_0;0.0;0.0;0;[VI 3 11];439;_0;CCCCXXXIX;328;0;0;0;436;0;L'istoria universale provata e figurata con simboli tratti da monumenti degli antichi;cartaceo;1600.0;1800.0;0;304.0;283.0;205.0;rilegato;pelle;0;/;orange;#2B9332;Non digitalizzato;5.983516377258808;0.5
461;462;m0440_0;0.0;0.0;0;[VI 3 12];440;_0;CCCCXL;0;0;0;0;437;0;Miscellanea;cartaceo;1700.0;1800.0;0;94.0;260.0;200.0;rilegato;pelle;0;/;orange;#2B9332;Non digitalizzato;4.815397345369075;0.5
462;463;m0441_0;0.0;0.0;0;[VI 3 13];441;_0;CCCCXLI;0;0;0;0;437-438;0;Miscellanea;cartaceo;1700.0;1800.0;0;0.0;0.0;0.0;fascicoli;fascicoli raccolti in busta;0;/;orange;#800000;Non digitalizzato;4.0;0.15
463;464;m0441A0;0.0;0.0;A stampa (Onuphrii Panvinii… chronicon ecclesiasticum, Colonia 1568);[VI 3 14];441;A0;CCCCXLI A;0;0;0;0;0;aggiunto, A stampa con;Onuphrii Panvinii… Chronicum eclesiasticum Colonia, 1568;0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;gray;#888483;Non digitalizzato;4.0;0.15
464;465;m0442_0;0.0;0.0;0;[VI 3 15];442;_0;CCCCXLII;0;0;0;0;438-439;0;Fumani Adami Observationes verborum;cartaceo;1500.0;1600.0;0;118.0;155.0;105.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.041137556209656;0.5
465;466;m0443_0;0.0;0.0;0;[VI 3 16];443;_0;CCCCXLIII;286;0;0;0;439-440;0;De Tempo Antonio: De rithmis vulgaribus;cartaceo;1300.0;1400.0;0;42.0;280.0;215.0;rilegato;tavole;0;/;orange;#2B9332;Non digitalizzato;4.019755705231028;0.5
466;467;m0444_0;0.0;0.0;0;[VI 3 17];444;_0;CCCCXLIV;287;0;0;0;440-441;0;Gidino de Sommacampagna: Dei ritmi volgari;cartaceo;1300.0;1400.0;0;38.0;330.0;230.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;3.921560709908635;0.5
467;468;m0445_0;0.0;0.0;0;[VI 3 18];445;_0;CCCCXLV;288;0;0;0;441-443;0;Alighieri Dante: Vita nuova e Rime;cartaceo;1300.0;1500.0;0;34.0;310.0;220.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.8126629693485388;0.5
468;469;m0446_0;0.0;0.0;0;[VII 3 1];446;_0;CCCCXLVI;289;0;0;0;443;0;Villani Giovanni e Matteo: Cronache fiorentine;cartaceo;1300.0;1400.0;0;242.0;358.0;268.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.756071800617351;0.5
469;470;m0447_0;0.0;0.0;0;[VII 3 2];447;_0;CCCCXLVII;290;0;0;0;444;0;Petrarca Francesco: I Trionfi, Sonetti e Canzoni;membranaceo;1400.0;1500.0;0;186.0;174.0;115.0;rilegato;assi coperte di pelle con impressioni e fermaglio;0;/;blue;#2B9332;Non digitalizzato;5.493832750744772;0.5
470;471;m0448_0;0.0;0.0;0;[VII 3 3];448;_0;CCCCXLVIII;291;0;0;0;444-445;0;Storia degli Sforza;cartaceo;1400.0;1500.0;0;148.0;285.0;187.0;rilegato;assi coperte di pelle con impressioni;0;/;orange;#2B9332;Non digitalizzato;5.266353591342639;0.5
471;472;m0449_0;0.0;0.0;0;[VII 3 4];449;_0;CCCCXLIX;292;0;0;0;445;0;Gataro Galeazzo: Cronaca della città di Padova;cartaceo;1600.0;1700.0;0;180.0;310.0;215.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.461179986977316;0.5
472;473;m0450_0;0.0;0.0;0;[VII 3 5];450;_0;CCCCL;293;0;0;0;445-446;0;Miscellanea storica;cartaceo;1500.0;1700.0;0;181.0;200.0;128.0;rilegato;pelle;0;/;orange;#2B9332;Non digitalizzato;5.466696694483167;0.5
473;474;m0451_0;0.0;0.0;0;[VII 3 6];451;_0;CCCCLI;294;0;0;0;446;cartaceo bombacinaceo;Cronaca della città di Venezia;cartaceo;1300.0;1500.0;0;240.0;222.0;165.0;rilegato;assi coperte di pelle con impressioni;0;/;orange;#2B9332;Non digitalizzato;5.7477993600729755;0.5
474;475;m0452_0;0.0;0.0;0;[VII 3 7];452;_0;CCCCLII;295;0;0;0;447;0;Miscellanea storica;cartaceo;1400.0;1500.0;0;38.0;320.0;220.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.921560709908635;0.5
475;476;m0453_0;0.0;0.0;0;[VII 3 8];453;_0;CCCCLIII;296;0;0;0;447-448;0;Zagata Pietro: Cronaca di Verona;membranaceo;1300.0;1400.0;0;30.0;310.0;210.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;3.6904407346808887;0.5
476;477;m0454_0;0.0;0.0;0;[VII 3 9];454;_0;CCCCLIV;297;0;0;0;448;0;Corna Francesco: Le antiche cronache di Verona;cartaceo;1500.0;1600.0;0;66.0;210.0;145.0;rilegato;mezza pelle;0;/;orange;#2B9332;Non digitalizzato;4.465189469683661;0.5
477;478;m0455_0;0.0;0.0;0;[VII 3 10];455;_0;CCCCLV;298;0;0;0;449;0;Volgarizzamento di Sallustio;cartaceo;1500.0;1600.0;0;74.0;310.0;210.0;rilegato;mezza pelle;0;/;orange;#2B9332;Non digitalizzato;4.5783555317925355;0.5
478;479;m0456_0;0.0;0.0;0;[VII 3 11];456;_0;CCCCLVI;299;0;0;0;449;0;Volgarizzamento dei dialoghi di S. Gregorio papa;membranaceo;1300.0;1400.0;0;137.0;203.0;145.0;rilegato;assi e fermaglio;0;/;blue;#2B9332;Non digitalizzato;5.189536656837063;0.5
479;480;m0457_0;0.0;0.0;0;[VII 3 12];457;_0;CCCCLVII;300;0;0;0;450;0;Boccaccio Gio.: Volgarizzamento del libro De consolatione di Boezio;cartaceo;1400.0;1500.0;0;128.0;206.0;150.0;rilegato;assi coperte di pelle con belle impressioni e fermaglio;0;/;orange;#2B9332;Non digitalizzato;5.121977881431629;0.5
480;481;m0458_0;0.0;0.0;0;[VII 3 13];458;_0;CCCCLVIII;301;0;0;0;450-451;cartac. o bombacinaceo?;Miscellanea di opere spirituali;cartaceo;1450.0;1500.0;0;115.0;240.0;180.0;rilegato;mezza pelle;0;/;orange;#2B9332;Non digitalizzato;5.015553734270156;0.5
481;482;m0459_0;0.0;0.0;0;[VII 3 14];459;_0;CCCCLIX;302;0;0;0;452;0;Volgarizzamento di due trattati di S. Bernardo;membranaceo;1300.0;1400.0;0;97.0;243.0;180.0;rilegato;assi coperte di pelle e fermaglio;0;/;blue;#2B9332;Non digitalizzato;4.846562870970164;0.5
482;483;m0460_0;0.0;0.0;0;[VII 3 15];460;_0;CCCCLX;303;0;0;0;452;0;Volgarizzamento del libro De consolatione di Boezio;membranaceo;1400.0;1500.0;0;40.0;246.0;165.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;3.9718630057841633;0.5
483;484;m0461_0;0.0;0.0;0;[VII 3 16];461;_0;CCCCLXI;304;0;0;0;453;0;Petrarca Francesco: I Trionfi;membranaceo;1400.0;1500.0;0;58.0;140.0;90.0;rilegato;assi coperte di pelle con impressioni e due fermagli;0;/;blue;#2B9332;Non digitalizzato;4.337563034911776;0.5
484;485;m0463_0;0.0;0.0;0;[VII 3 17];463;_0;CCCCLXIII;307;0;0;0;453;0;Da Montechiello Domenico: L'Eroidi di Ovidio volgarizzati;bombacino;1300.0;1400.0;0;122.0;288.0;220.0;rilegato;tavole;0;/;violet;#2B9332;Non digitalizzato;5.074261941269774;0.5
485;486;m0464_0;0.0;0.0;0;[VII 3 18];464;_0;CCCCLXIV;306;0;0;0;454;0;Da Todi fra Giacopone: Rime sacre o Miscellanea poetica?;cartaceo;1400.0;1600.0;0;202.0;161.0;116.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.576028014174173;0.5
486;487;m0465_0;0.0;0.0;0;[VII 3 19];465;_0;CCCCLXV;308;0;0;0;455;0;Faella Giacopo Filippo e Pellegrini: Versi;cartaceo;1500.0;1600.0;0;132.0;197.0;155.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.152568789984922;0.5
487;488;m0466_0;0.0;0.0;0;[VII 3 20];466;_0;CCCCLXVI;309;0;0;0;455-456;0;Composizioni in prosa e versi;cartaceo;1700.0;1800.0;0;93.0;208.0;155.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.804789192255344;0.5
488;489;m0467_0;0.0;0.0;0;[VII 3 21];467;_0;CCCCLXVII;310;0;0;0;456-458;0;Composizioni poetiche sacre e profane;cartaceo;1600.0;1700.0;0;134.0;153.0;109.0;rilegato;pelle;0;/;orange;#2B9332;Non digitalizzato;5.167520327407472;0.5
489;490;m0468_0;0.0;0.0;0;[VII 3 22];468;_0;CCCCLXVIII;311;0;0;0;458;0;Boccaccio Giov.: Vita di nostra donna;cartaceo;1500.0;1600.0;0;48.0;216.0;150.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.151039905898646;0.5
490;491;m0469_0;0.0;0.0;0;[VII 3 23];469;_0;CCCCLXIX;312;0;0;0;458-459;0;Miscellanea poetica;cartaceo;1500.0;1700.0;0;100.0;200.0;143.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.876786390753079;0.5
491;492;m0470_0;0.0;0.0;0;[VII 3 24];470;_0;CCCCLXX;313;0;0;0;459-460;0;D'Alziboto Iacopo fiorent.: Delle lodi di Venezia;cartaceo;1400.0;1500.0;0;85.0;230.0;170.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.715611522388404;0.5
492;493;m0471_0;0.0;0.0;0;[I 4 1];471;_0;CCCCLXXI;314;0;0;0;460-461;0;Summaripa Giorgio ed altri: Le Satire di Giovenale volgarizzate in terza rima;bombacino;1500.0;1700.0;0;234.0;236.0;180.0;rilegato;tavole e due fermagli;0;/;violet;#2B9332;Non digitalizzato;5.722563338299576;0.5
493;494;m0472_0;0.0;0.0;0;[I 4 2];472;_0;CCCCLXXII;315;0;0;0;461;0;Marcello Marco Antonio: Storia degli stati posseduti o pretesi dalla Chiesa romana;cartaceo;1625.0;1700.0;0;121.0;300.0;210.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.0660831408118305;0.5
494;495;m0473_0;0.0;0.0;0;[I 4 3];473;_0;CCCCLXXIII;316;0;0;0;462;0;Genealogia delle famiglie di Venezia ed altri scritti intorno la stessa città;cartaceo;1500.0;1600.0;0;50.0;0.0;0.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.191231780675305;0.5
495;496;m0474_0;0.0;0.0;0;[I 4 4];474;_0;CCCCLXXIV;317;0;0;0;462-463;0;Relazioni diplomatiche della Repubblica Veneta e della Santa Sede;cartaceo;1600.0;1800.0;0;150.0;287.0;204.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.279707777298865;0.5
496;497;m0475_0;0.0;0.0;0;[I 4 5];475;_0;CCCCLXXV;318;0;0;0;463-464;0;Del Bene Francesco: Alberi genealogici delle famiglie nobili di Verona;cartaceo;1400.0;1600.0;0;291.0;280.0;190.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.939924511756067;0.5
497;498;m0476_0;0.0;0.0;0;[I 4 6];476;_0;CCCCLXXVI;319;0;0;0;464;0;Ruccellai Giovanni: Oreste tragedia;cartaceo;1700.0;1800.0;0;57.0;300.0;220.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.320400534983345;0.5
498;499;m0477_0;0.0;0.0;0;[I 4 7];477;_0;CCCCLXXVII;320;0;0;0;464;0;Parti venete dal 1300 al 1500;cartaceo;1600.0;1700.0;0;455.0;300.0;200.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;6.385949453950673;0.5
499;500;m0478_0;0.0;0.0;0;[I 4 8];478;_0;CCCCLXXVIII;321;0;0;0;465;0;Giustiniani card. Giovanni: Relatione di Roma;cartaceo;1700.0;1800.0;0;83.0;260.0;175.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.6920166188196255;0.5
500;501;m0479_0;0.0;0.0;0;[I 4 9];479;_0;CCCCLXXIX;322;0;0;0;465;0;Granara Gio. Gregorio: Portolano;cartaceo;1600.0;1700.0;0;133.0;0.0;0.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.160072501994833;0.5
501;502;m0480_0;0.0;0.0;0;[I 4 10];480;_0;CCCCLXXX;323;0;0;0;466;0;Volgarizzamento delle Epistole e Vangeli per tutto l'anno;membranaceo;1450.0;1500.0;0;130.0;240.0;180.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.137390306608239;0.5
502;503;m0481_0;0.0;0.0;0;[I 4 11];481;_0;CCCCLXXXI;324;0;0;0;466;0;Mariano da Firenze: Dialogo del sacro Monte della Vernia;cartaceo;1525.0;1600.0;0;152.0;165.0;115.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.29288597655083;0.5
